year,scrip_code,company, isin_no,corp_address,corp_city, corp_district,corp_state, corp_pincode,corp_source,head_address, head_city,head_district,head_state, head_pincode,head_source,comments
2010,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2011,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2012,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2013,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2014,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2015,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2016,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2017,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2018,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2019,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2020,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2021,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2022,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2023,542772,360 ONE WAM Ltd,INE466L01038,,,,,,,,,,,,,
2024,542772,360 ONE WAM Ltd,INE466L01038,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel,
Mumbai – 400013",Mumbai,Mumbai,Maharashtra,400013,Annual Report,,,,,,,
2010,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2011,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2012,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2013,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2014,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2015,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2016,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2017,523395,3M India Ltd,INE470A01017,"Concorde Block, UB City, 24, Vittal Mallya Road, Bengaluru – 560 001",Bengaluru,Bengaluru,Karnataka,560001,Annual Report,,,,,,,
2018,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2019,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2020,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2021,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2022,523395,3M India Ltd,INE470A01017,,,,,,,,,,,,,
2023,523395,3M India Ltd,INE470A01017,"3M India Limited WeWork Prestige Central, 3rd floor, 36 Infantry Road, Tasker Town, Bengaluru – 560001",Bengaluru,Bengaluru,Karnataka,560001,Annual Report,,,,,,,
2024,523395,3M India Ltd,INE470A01017,"3M India Limited WeWork Prestige Central, 3rd floor, 36 Infantry Road, Tasker Town, Bengaluru – 560001",Bengaluru,Bengaluru,Karnataka,560001,Annual Report,,,,,,,
2010,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2011,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2012,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2013,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2014,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2015,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2016,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2017,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2018,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2019,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2020,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
2021,524348,Aarti Drugs Ltd,INE767A01016,"Mahendra Industrial Estate, Ground Floor, Plot No. 109D9, Sion (E),
Mumbai - 400 022",Mumbai,Mumbai,Maharashtra,400022,Annual Report,,,,,,,
