scrip_code,company, no_of_years,years 
542772,360 ONE WAM Ltd,1,2024
523395,3M India Ltd,3,"2017, 2023, 2024"
524348,Aarti Drugs Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
524208,Aarti Industries Ltd.,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
541988,AAVAS Financiers Ltd,6,"2019, 2020, 2021, 2022, 2023, 2024"
500002,ABB India Ltd,1,2024
500488,Abbott India Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
500410,ACC Ltd,,
539254,Adani Energy Solutions Ltd,6,"2019, 2020, 2021, 2022, 2023, 2024"
512599,Adani Enterprises Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
541450,Adani Green Energy Ltd,9,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
532921,Adani Ports and Special Economic Zone,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
533096,Adani Power Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
542066,Adani Total Gas Limited,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
543458,Adani Wilmar Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
540691,Aditya Birla Capital Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
535755,Aditya Birla Fashion and Retail Ltd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
543374,Aditya Birla Sun Life AMC LTd,15,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
